direction,layer,mean_recovery,ci_low,ci_high,n_pair,n_prompts
AR_to_IID,8,0.9319775196285651,0.9254147076593244,0.9382610901232536,800,20
AR_to_IID,9,0.9665698499039974,0.9623506385585403,0.9705116592679599,800,20
AR_to_IID,10,0.9860445954145781,0.9841162129062332,0.9878609843954606,800,20
IID_to_AR,8,0.9346699654125586,0.9276136471037926,0.9413244600753266,800,20
IID_to_AR,9,0.9685494567651597,0.9640356862261114,0.972676567232715,800,20
IID_to_AR,10,0.9870743870566854,0.9847667751832156,0.9890770733392684,800,20
